Date,Station,DSP Short Code,unplanned delay,total delay in minutes,Impacted routes,Notes
2026-02-18,Reno (DLV3)-Amazon.com,NDAY,Customer reattempts,59,1,UPD Entered by mppoosa for ID-NDAY(2/18)
2026-02-21,Reno (DLV3)-Amazon.com,NDAY,Customer reattempts,201,6,UPD Entered by mppoosa for ID-NDAY(2/21)
